Ano,Mes,Acumulada
2014,1,657.0301371356629
2014,2,299.9766397911528
2014,3,1936.0543526076654
2014,4,2369.0982219128737
2014,5,1149.8696128061094
2014,6,1610.418687362435
2014,7,2059.5910538032413
2014,8,643.1036693223966
2014,9,552.5243781344282
2014,10,601.4330945029197
2014,11,1374.7776053532853
2014,12,1638.4253544312917
2015,1,2727.9789107980314
2015,2,2378.4849201550846
2015,3,4044.830078999347
2015,4,2193.720000000003
2015,5,1188.1199999999992
2015,6,2149.250000000007
2015,7,426.92000000000155
2015,8,295.290000000001
2015,9,2863.519999999998
2015,10,700.750000000003
2015,11,4209.009999999985
2015,12,2343.869999999996
2016,1,6708.610000000009
2016,2,4723.090000000006
2016,3,4099.9
2016,4,141.8600000000004
2016,5,1919.5699999999877
2016,6,2873.7300000000123
2016,7,152.33000000000047
2016,8,1326.3699999999887
2016,9,2757.16000000002
2016,10,1017.6399999999958
2016,11,4139.839999999989
2016,12,1803.4899999999898
2017,1,813.3300000000015
2017,2,308.3900000000005
2017,3,2901.66999999998
2017,4,3681.999999999994
2017,5,841.6400000000044
2017,6,3707.310000000004
2017,7,847.3499999999964
2017,8,1395.1899999999998
2017,9,168.19000000000082
2017,10,1216.0799999999956
2017,11,2334.9700000000034
2017,12,1320.249999999999
2018,1,3244.119999999994
2018,2,3137.689999999996
2018,3,1363.6699999999962
2018,4,733.3299999999988
2018,5,644.8499999999998
2018,6,644.2400000000008
2018,7,536.4399999999995
2018,8,1515.9699999999993
2018,9,891.9900000000004
2018,10,1751.1899999999996
2018,11,7062.820000000038
2018,12,2732.0300000000107
2019,1,1813.650000000006
2019,2,7566.030000000003
2019,3,7217.190000000018
2019,4,8413.799999999983
2019,5,3300.140000000015
2019,6,1847.9599999999987
2019,7,1171.4299999999962
2019,8,3490.3100000000077
2019,9,3329.570000000012
2019,10,1579.9600000000087
2019,11,2917.350000000011
2019,12,3524.46000000001
2020,1,121.0
2020,2,264.0
2020,3,397.90999999999855
2020,4,189.7500000000004
2020,5,948.1599999999987
2020,6,33.54999999999998
2020,7,343.86000000000064
2020,8,573.1399999999968
2020,9,567.7099999999976
2020,10,876.9599999999995
2020,11,1054.839999999999
2020,12,2053.399999999998
2021,1,431.7999999999983
2021,2,3408.8000000000075
2021,3,1224.7999999999993
2021,4,1013.4499999999964
2021,5,904.479999999995
2021,6,286.1000000000003
2021,7,192.11000000000078
2021,8,400.3100000000012
2021,9,235.1900000000003
2021,10,1690.5599999999947
2021,11,1520.049999999992
2021,12,918.3999999999996
2022,1,853.0
2022,2,207.0
2022,3,259.0
2022,4,835.0
