Ano,Mes,Media_dias_chuva
2014,1,67.95611370850759
2014,2,3.486944852579058
2014,3,10.055235570041322
2014,4,13.944555482102318
2014,5,8.214260924149315
2014,6,12.789047260460555
2014,7,15.68391071435694
2014,8,9.18432782450827
2014,9,5.9378333983670375
2014,10,3.5867726982349084
2014,11,7.117138336473525
2014,12,13.550120300288768
2015,1,20.446601196330597
2015,2,10.27945505285322
2015,3,16.420235655414483
2015,4,9.127908293813467
2015,5,8.68988032029699
2015,6,15.217295688686313
2015,7,4.49707097069597
2015,8,4.396616987179487
2015,9,10.542477134968205
2015,10,4.718313511154675
2015,11,18.08707426112982
2015,12,20.81204192444982
2016,1,30.068710095460094
2016,2,32.344094811621126
2016,3,25.478722853311552
2016,4,3.6610306122448977
2016,5,11.089124895937388
2016,6,16.202346999666993
2016,7,3.3837611647611645
2016,8,8.009211417370507
2016,9,15.145798110979923
2016,10,8.324025596625598
2016,11,34.53964231921925
2016,12,11.816436147186144
2017,1,8.647167474747471
2017,2,6.250166666666665
2017,3,22.911552135642133
2017,4,14.288650648264783
2017,5,5.272913935023314
2017,6,25.98813396407515
2017,7,8.469883560883565
2017,8,7.4174727587227585
2017,9,2.2203331141081133
2017,10,7.639704584556858
2017,11,10.785279805664423
2017,12,6.923865800865801
2018,1,19.894602522477523
2018,2,22.896285337137616
2018,3,10.720274562394128
2018,4,6.939219765684048
2018,5,7.385053884711783
2018,6,6.134471964543391
2018,7,8.252108663162236
2018,8,10.0515160950161
2018,9,7.5129145962732915
2018,10,14.593903452514567
2018,11,26.064752556326408
2018,12,7.40116365723047
2019,1,5.134760944352737
2019,2,17.409735056365076
2019,3,18.16445160136375
2019,4,25.884682992079036
2019,5,10.600372926754908
2019,6,8.171469158341658
2019,7,6.323146928236264
2019,8,19.798033816115023
2019,9,13.35148531558317
2019,10,7.03894603709134
2019,11,6.87690059945151
2019,12,9.706965433613838
2020,1,13.444444444444445
2020,2,13.894736842105264
2020,3,4.068805952380952
2020,4,3.006735294117647
2020,5,15.5888051948052
2020,6,2.201428571428572
2020,7,9.752685185185184
2020,8,9.391731292517008
2020,9,7.77915119047619
2020,10,5.49902834054834
2020,11,6.880619564694566
2020,12,10.503027305070406
2021,1,1.5119220945083014
2021,2,5.167533960292581
2021,3,2.9478325123152707
2021,4,9.770528540903543
2021,5,9.820620091896412
2021,6,3.671731746031745
2021,7,5.172642857142857
2021,8,6.7626696428571424
2021,9,3.705247217068645
2021,10,9.513398492312284
2021,11,11.04293767872339
2021,12,8.128977271132444
2022,1,6.737589394732252
2022,2,4.0903223319889985
2022,3,10.235555555555555
2022,4,11.31679784861603
